MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,SaleType,SaleCondition,Remodeled,RecentRemodel,NewHouse,HouseAge,TimeSinceSold,YearSinceRemodel,HighSeason,TotalArea,HasLowQualArea,HasBasement,HasGarage,Has2ndFloor,HasMasVnr,HasWoodDeck,HasOpenPorch,HasScreenPorch,HasEnclosedPorch,Has3SsnPorch,HasPool,NbrhRich,SalePrice
SC20,RL,70.0,11200,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,TA,TA,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,906,Unf,0,134,1040,GasA,Ex,Y,SBrkr,0,1040,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,384,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,52,9,43,0,15814.0,0,1,1,0,0,0,0,0,0,0,0,0,129500
SC60,RL,85.0,11924,Pave,None,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Ex,TA,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,Ex,TA,PConc,Ex,TA,No,GLQ,998,Unf,0,177,1175,GasA,Ex,Y,SBrkr,0,2324,1,0,3,0,4,1,Ex,11,Typ,2,Gd,BuiltIn,Fin,736,TA,TA,Y,147,21,0,0,0,0,None,None,None,0,New,Partial,1,1,0,12,11,0,1,20197.0,0,1,1,1,1,1,1,0,0,0,0,0,345000
SC20,RL,74.4375,12968,Pave,None,IR2,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,TA,AA,Hip,CompShg,HdBoard,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,737,Unf,0,175,912,GasA,TA,Y,SBrkr,0,912,1,0,1,0,2,1,TA,4,Typ,0,None,Detchd,Unf,352,TA,TA,Y,140,0,0,0,176,0,None,None,None,0,WD,Normal,0,0,0,55,9,46,0,17358.4375,0,1,1,0,0,1,0,1,0,0,0,0,144000
SC20,RL,91.0,10652,Pave,None,IR1,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Gd,TA,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,1494,1494,GasA,Ex,Y,SBrkr,0,1494,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,840,TA,TA,Y,160,33,0,0,0,0,None,None,None,0,New,Partial,1,1,0,11,10,0,0,18058.0,0,1,1,0,1,1,1,0,0,0,0,0,279500
SC20,RL,76.46236559139786,10920,Pave,None,IR1,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,AA,TA,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,TA,TA,CBlock,TA,TA,No,BLQ,733,Unf,0,520,1253,GasA,TA,Y,SBrkr,0,1253,1,0,1,1,2,1,TA,5,Typ,1,Fa,Attchd,RFn,352,TA,TA,Y,0,213,176,0,0,0,None,GdWo,None,0,WD,Normal,0,0,0,57,9,48,1,16961.462365591397,0,1,1,0,1,0,1,0,1,0,0,0,157000
SC45,RM,51.0,6120,Pave,None,Reg,Lvl,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,Gd,Vg,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,832,832,GasA,Ex,Y,FuseA,0,854,0,0,1,0,2,1,TA,5,Typ,0,None,Detchd,Unf,576,TA,TA,Y,48,112,0,0,0,0,None,GdPrv,None,0,WD,Normal,1,0,0,88,10,6,1,10279.0,0,1,1,0,0,1,1,0,0,0,0,0,132000
SC20,RL,76.46236559139786,11241,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,AA,Gd,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,TA,CBlock,TA,TA,No,ALQ,578,Unf,0,426,1004,GasA,Ex,Y,SBrkr,0,1004,1,0,1,0,2,1,TA,5,Typ,1,TA,Attchd,Fin,480,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,700,WD,Normal,0,0,0,47,7,40,0,15993.462365591398,0,1,1,0,1,0,0,0,0,0,0,0,149000
SC90,RL,72.0,10791,Pave,None,Reg,Lvl,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,BA,TA,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,Slab,None,None,None,None,0,None,0,0,0,GasA,TA,Y,SBrkr,0,1296,0,0,2,0,2,2,TA,6,Typ,0,None,CarPort,Unf,516,TA,TA,Y,0,0,0,0,0,0,None,None,Shed,500,WD,Normal,0,0,0,50,11,39,0,13971.0,0,0,1,0,0,0,0,0,0,0,0,0,90000
SC20,RL,66.0,13695,Pave,None,Reg,Lvl,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,TA,TA,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,TA,TA,No,GLQ,646,Unf,0,468,1114,GasA,Ex,Y,SBrkr,0,1114,1,0,1,1,3,1,Gd,6,Typ,0,None,Detchd,Unf,576,TA,TA,Y,0,102,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,13,9,4,1,18895.0,0,1,1,0,0,0,1,0,0,0,0,0,159000
SC20,RL,70.0,7560,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,AA,Hip,CompShg,BrkFace,Plywood,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,504,Unf,0,525,1029,GasA,TA,Y,SBrkr,0,1339,0,0,1,0,3,1,TA,6,Min1,0,None,Attchd,Unf,294,TA,TA,Y,0,0,0,0,0,0,None,MnPrv,None,0,COD,Abnorml,1,0,0,59,8,44,1,12660.0,0,1,1,0,0,0,0,0,0,0,0,0,139000
SC60,RL,101.0,14215,Pave,None,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1158,1158,GasA,Ex,Y,SBrkr,0,2376,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,RFn,853,TA,TA,Y,240,154,0,0,0,0,None,None,None,0,New,Partial,1,1,0,12,11,0,0,23011.0,0,1,1,1,1,1,1,0,0,0,0,0,325300
SC45,RM,57.0,7449,Pave,Grvl,Reg,Bnk,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,Gd,Gd,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,637,637,GasA,Ex,Y,FuseF,0,1108,0,0,1,0,3,1,Gd,6,Typ,1,Gd,Attchd,Unf,280,TA,TA,N,0,0,205,0,0,0,None,GdPrv,None,0,WD,Normal,1,0,0,87,10,57,1,11481.0,0,1,1,0,0,0,0,0,1,0,0,0,139400
SC20,RL,75.0,9742,Pave,None,Reg,Lvl,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Vg,TA,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1777,1777,GasA,Ex,Y,SBrkr,0,1795,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,534,TA,TA,Y,171,159,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,15,9,6,0,18106.0,0,1,1,0,1,1,1,0,0,0,0,0,230000
SC120,RM,44.0,4224,Pave,None,Reg,Lvl,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,TA,Gd,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,PConc,Gd,TA,No,GLQ,840,Unf,0,200,1040,GasA,TA,Y,SBrkr,0,1060,1,0,1,0,3,1,TA,6,Typ,1,TA,Attchd,Unf,572,TA,TA,Y,100,110,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,41,10,31,1,9250.0,0,1,1,0,0,1,1,0,0,0,0,0,129900
SC20,RL,74.4375,8246,Pave,None,IR1,Lvl,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,TA,Vg,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,TA,TA,Mn,Rec,188,ALQ,668,204,1060,GasA,Ex,Y,SBrkr,0,1060,1,0,1,0,3,1,Gd,6,Typ,1,TA,Attchd,Unf,270,TA,TA,Y,406,90,0,0,0,0,None,MnPrv,None,0,WD,Normal,1,0,0,49,7,9,1,13326.4375,0,1,1,0,0,1,1,0,0,0,0,0,154000
SC20,RL,110.0,14230,Pave,None,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1566,1566,GasA,Ex,Y,SBrkr,0,1600,0,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,890,TA,TA,Y,0,56,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,10,8,2,1,22258.0,0,1,1,0,1,0,1,0,0,0,0,0,256300
SC20,RL,60.0,7200,Pave,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,Gd,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234,Rec,486,180,900,GasA,TA,Y,SBrkr,0,900,0,1,1,0,3,1,Gd,5,Typ,0,None,Detchd,Unf,576,TA,TA,Y,222,32,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,66,7,10,1,11690.0,0,1,1,0,0,1,1,0,0,0,0,0,134800
SC20,RL,98.0,11478,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218,Unf,0,486,1704,GasA,Ex,Y,SBrkr,0,1704,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,RFn,772,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,10,7,2,1,19414.0,0,1,1,0,1,0,1,0,0,0,0,0,306000
SC20,RL,47.0,16321,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,AA,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,GasA,TA,Y,SBrkr,0,1600,1,0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,RFn,319,TA,TA,Y,288,258,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,60,11,9,0,23401.0,0,1,1,0,0,1,1,0,0,0,0,0,207500
SC30,RM,60.0,6324,Pave,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,BA,AA,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,520,520,GasA,Fa,N,SBrkr,0,520,0,0,1,0,1,1,Fa,4,Typ,0,None,Detchd,Unf,240,Fa,TA,Y,49,0,87,0,0,0,None,None,None,0,WD,Normal,1,0,0,90,9,58,1,8840.0,0,1,1,0,0,1,0,0,1,0,0,0,68500
SC70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,BA,BA,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,649,649,GasA,TA,N,SBrkr,0,1317,0,0,1,0,3,1,TA,6,Typ,0,None,Detchd,Unf,250,TA,Fa,N,0,54,172,0,0,0,None,MnPrv,None,0,WD,Normal,1,0,0,97,9,58,1,12958.0,0,1,1,1,0,0,1,0,1,0,0,0,40000
SC20,RL,74.4375,8544,Pave,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,TA,AA,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1228,1228,GasA,Gd,Y,SBrkr,0,1228,0,0,1,1,3,1,Gd,6,Typ,0,None,Attchd,Unf,271,TA,TA,Y,0,65,0,0,0,0,None,MnPrv,None,0,WD,Normal,1,0,0,51,9,2,1,13866.4375,0,1,1,0,0,0,1,0,0,0,0,0,149350
SC20,RL,85.0,11049,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1234,1234,GasA,Ex,Y,SBrkr,0,1234,0,0,2,0,3,1,Gd,7,Typ,0,None,Attchd,RFn,484,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,10,9,1,0,16584.0,0,1,1,0,0,0,1,0,0,0,0,0,179900
SC20,RL,70.0,10552,Pave,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,TA,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018,Unf,0,380,1398,GasA,Gd,Y,SBrkr,0,1700,0,1,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,RFn,447,TA,TA,Y,0,38,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,58,7,51,0,17303.0,0,1,1,0,0,0,1,0,0,0,0,0,165500
SC120,RL,60.0,7313,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,Ex,TA,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153,Unf,0,408,1561,GasA,Ex,Y,SBrkr,0,1561,1,0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,Fin,556,TA,TA,Y,203,47,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,12,10,2,0,14669.0,0,1,1,0,1,1,1,0,0,0,0,0,277500
SC60,RL,108.0,13418,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,Vg,TA,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,0,1117,1117,GasA,Ex,Y,SBrkr,0,2452,0,0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,Fin,691,TA,TA,Y,113,32,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,13,11,1,0,21632.0,0,1,1,1,1,1,1,0,0,0,0,0,309000
SC20,RL,112.0,10859,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,TA,TA,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1097,1097,GasA,Ex,Y,SBrkr,0,1097,0,0,1,1,3,1,TA,6,Typ,0,None,Attchd,Unf,672,TA,TA,Y,392,64,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,23,8,14,1,16487.0,0,1,1,0,0,1,1,0,0,0,0,0,145000
SC20,RL,74.0,8532,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,AA,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213,Unf,0,84,1297,GasA,Gd,Y,SBrkr,0,1297,0,1,1,0,3,1,TA,5,Typ,1,TA,Attchd,Fin,498,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,WD,Normal,1,0,0,63,8,19,0,14942.0,0,1,1,0,1,0,0,0,0,0,0,0,153000
SC20,RL,68.0,7922,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,Gd,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,No,GLQ,731,Unf,0,326,1057,GasA,TA,Y,SBrkr,0,1057,1,0,1,0,3,1,Gd,5,Typ,0,None,Detchd,Unf,246,TA,TA,Y,0,52,0,0,0,0,None,None,None,0,WD,Abnorml,1,0,0,64,7,3,0,12516.0,0,1,1,0,0,0,1,0,0,0,0,0,109000
SC90,RL,65.0,6040,Pave,None,Reg,Lvl,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,BA,TA,Gable,CompShg,AsbShng,Plywood,None,0.0,TA,TA,PConc,None,None,None,None,0,None,0,0,0,GasA,TA,N,FuseP,0,1152,0,0,2,0,2,2,Fa,6,Typ,0,None,None,None,0,None,None,N,0,0,0,0,0,0,None,None,None,0,WD,AdjLand,0,0,0,62,9,53,1,8409.0,0,0,0,0,0,0,0,0,0,0,0,0,82000
SC20,RL,84.0,8658,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,AA,TA,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,TA,TA,CBlock,TA,TA,No,Rec,643,Unf,0,445,1088,GasA,Ex,Y,SBrkr,0,1324,0,0,2,0,3,1,TA,6,Typ,1,TA,Attchd,RFn,440,TA,TA,Y,0,138,0,0,0,0,None,GdWo,None,0,WD,Abnorml,0,0,0,52,11,41,0,14245.0,0,1,1,0,1,0,1,0,0,0,0,0,160000
SC20,RL,115.0,16905,Pave,None,Reg,Lvl,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,TA,AA,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,CBlock,TA,TA,Gd,BLQ,967,Unf,0,383,1350,GasA,Gd,Y,SBrkr,0,1328,0,1,1,1,2,1,TA,5,Typ,2,Gd,Attchd,RFn,308,TA,TA,P,0,104,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,58,10,48,1,22788.0,0,1,1,0,0,0,1,0,0,0,0,1,170000
SC85,RL,71.5,9180,Pave,None,IR1,Lvl,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,TA,Gd,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Av,ALQ,747,LwQ,93,0,840,GasA,Gd,Y,SBrkr,0,884,1,0,1,0,2,1,Gd,5,Typ,0,None,Attchd,RFn,504,TA,Gd,Y,240,0,0,0,0,0,None,MnPrv,None,0,WD,Normal,0,0,0,34,10,24,0,13443.5,0,1,1,0,0,1,0,0,0,0,0,0,144000
SC20,RL,71.6825396825397,9200,Pave,None,IR1,Lvl,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,TA,AA,Hip,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,Gd,TA,Av,LwQ,280,BLQ,491,167,938,GasA,TA,Y,SBrkr,0,938,1,0,1,0,3,1,TA,5,Typ,0,None,Detchd,Unf,308,TA,TA,Y,145,0,0,0,0,0,None,MnPrv,None,0,WD,Normal,1,0,0,42,9,28,1,13476.682539682539,0,1,1,0,0,1,0,0,0,0,0,0,130250
SC20,RL,70.0,7945,Pave,None,Reg,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,TA,AA,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,ALQ,179,BLQ,506,465,1150,GasA,Ex,Y,FuseA,0,1150,1,0,1,0,3,1,TA,6,Typ,0,None,Attchd,RFn,300,TA,TA,Y,0,0,0,0,0,0,None,None,None,0,WD,Normal,0,0,0,58,11,47,1,12915.0,0,1,1,0,0,0,0,0,0,0,0,0,141000
